"Nomes","Valor","Cluster"
"Tênis Fila Renno Vintage Masculino",299.99,2
"Tênis Skechers Go Run Speed Beast Masculino",1299.8,3
"Tênis Olympikus Dynamic Masculino Original",279.9,1
"Tênis Fila Racer Wings Masculino",273.51,1
"Tênis Asics Japan S Masculino",349.99,2
"Tênis Democrata Bold Masculino",242.88,1
"Tênis Fila Arcade Low Masculino",209.98,1
"Tênis de Corrida Masculino Under Armour Charged Slight SE",233.99,1
"Tênis Reebok Royal Complete Sport Masculino",179.98,1
"Tênis Rainha Blare Masculino",124.99,1
"Tênis Fila Float Fenix Masculino",303.81,2
"Tênis Oakley Voyage II WT24 Masculino",229.88,1
"Sapatênis Masculino Polo Plus Tênis Casual Cano Baixo Macio",107.3,1
"Tênis Masculino Mizuno Wave Prophecy 12",999.99,3
"Tênis ASICS GEL-Nimbus 26 Maratona de Paris - Masculino - Branco com Vermelho e Azul",1299.99,3
"Tênis Asics Gel Spectrum Masculino",439.88,2
"Tênis On Running Cloud 5 Masculino Preto",899.9,3
"Tênis Mizuno Wave Endeavor Masculino",350.99,2
"Tênis Estilo Retrô Sneaker Runway Sportwear Masculino",88.31,1
"Tênis Olympikus Veloz 2 157",129.99,1
"Tênis Masculino Wilson Game 2.0 Clay Court",289.9,1
"Tênis Asics Gel-Backhand Masculino",261.89,1
"Tênis Asics Fuzeblast Se Masculino",314.99,2
"Tênis Mizuno Wave Dynasty 5 Masculino",465.59,2
"Tênis New Balance Evoz V3 Masculino",439.9,2
"Tênis Olympikus 237G Ultraleve Masculino",189.9,1
"Tênis Adidas Lite Flow",242.49,1
"Tênis Skechers Go Run Fast Valor Masculino",402.61,2
"Tênis Mizuno Wave Frontier 15 - Masculino - 44 - Cinza",699.9,3
"Tênis Umbro Futsal Sala V Club Masculino",238.88,1
"Tênis Olympikus Urano Masculino",179.9,1
"Tênis DC Shoes Union LA Masculino",341.05,2
"Tênis Olympikus Noventa Unissex",139.99,1
"Tênis Mizuno Wave Legend 2 Masculino",329.99,2
"Tênis Fila Extra Masculino",223.09,1
"Tênis Couro Lacoste Europa Masculino",279.99,1
"Tênis Fila Efecto Masculino",249.67,1
"Tenis Mizuno Wave Way 4 Masculino",369.9,2
"Tênis Nike Metcon 9 Masculino",1025.99,3
"Tênis Hoka One One Carbon X 3 Masculino",1799.99,3
"Sapatênis Masculino Polo Plus Tênis Casual Cano Baixo Macio",107.3,1
"Tênis New Saymon Fast Original Masculino Academia Corrida Caminhada",123.49,1
"Tênis Masculino Under Armour Charged Slight 2 Esportivo",284.99,1
"Tenis Masculino Oakley Flak 365 Camo 2",849,3
"Tênis Masculino Slip On Esportivo Comfort Sem Cadarço Com Tela Respirável Calce Fácil",104.25,1
"Tênis Under Armour Tribase Reps Masculino",399.88,2
"Tênis Rainha Fire Masculino",129.99,1
"Tênis Olympikus Challenger 5 Masculino",290.99,1
"Tênis Olympikus Noventa Masculino",211.87,1
"Tênis de Corrida Masculino Mizuno Wave Mirai 6",415.05,2
"Tênis Oakley Masculino Flint",199.88,1
"Tênis Mizuno Wave Endeavor Masculino",449.9,2
"Tênis Oakley Flak II SNKR Back To Skull Masculino",399.98,2
"Tênis Asics Fuzeblast Se Masculino",324.89,2
"Tênis On Running Cloud 5 Glacial Masculino",949,3
"Tênis Reebok Nano X3 Adventure Masculino",712.49,3
"Tênis Puma Haste SL Bdp Masculino",281.29,1
"Tênis DC Shoes Anvil TX Masculino",284.9,1
"Tênis New Balance Fresh Foam X 1080v13 Masculino",1499.9,3
"Tênis Masculino Academia Caminhada Esporte Treino Leve Confortável",79.98,1
"Tênis Oakley Stratus Unissex",299.99,2
"Tênis Asics Gel-Shogun 5 Masculino Original",379.99,2
"Tênis Oakley Masculino Casual Split II",209.88,1
"Tênis New Balance Fresh Foam X 1080 V12 Masculino",969.99,3
"Tênis Esportivo Masculino Para Treino Academia Confortável Lançamento",71.91,1
"Tênis Olympikus Delta Masculino",129.99,1
"Tênis Reserva Spriz 80 Masculino",854,3
"Tênis Olympikus Rua Masculino",249.9,1
"Tênis Nike Revolution 6 FlyEase Next Nature",294.49,2
"Tênis Reserva Yankee Masculino",649.99,2
"Kit 02 Pares Tênis Masculino Infantil Escolar Casual Air Kids Nid Feet Lançamento",139,1
"Tênis Bull Terrier Couro Aton Low Masculino",426.87,2
"Tênis Puma Bdp Masculino",329.99,2
"Tênis de Basquete Masculino Under Armour Buzzer SE",349.99,2
"Tênis Couro Cavalera Jabstep Masculino",199.99,1
"Tênis Sneaker Estilo Retrô Runway Sportwear Masculino",97.66,1
"Tênis Olympikus Asfalto Masculino",271.59,1
"Tênis Asics Novablast 4 Masculino",1099.99,3
"Tênis Puma Fuse 2.0 Masculino",924.33,3
"Tênis Mizuno Wave Mirai 5 Masculino-43 Marinho-Verde",269.99,1
"Tênis Asics Dynablast 3 Masculino",799.99,3
"Tênis Olympikus Asfalto Masculino",221.87,1
"Tênis Puma Cell Lightpulse BDP Masculino",320.09,2
"Tênis Fila F Virtuous Masculino - Marrom e Preto",321.9,2
"Tênis DC Shoes Union LA Masculino",189.46,1
"Tênis Olympikus Challenger 5 Masculino - 40 - Navy Blue",299.89,2
"Tênis New Balance 373 V2 Masculino Original",439.6,2
"Kit 2 Tênis Esportivo Masculino Cadarço Academia Fitness",135.28,1
"Tênis New Balance Evoz V3 Masculino",495,2
"Tênis Reebok Nano X3 Adventure Masculino",712.49,3
"Tênis Reserva Casual Masculino",219.99,1
"Tênis OUS Imigrante Masculino",379.62,2
"Tênis Puma Caven 2.0 Bdp Masculino",398.88,2
"Tênis Esportivo Olimp Masculino Para Caminhada Academia Wit Shoes",139.9,1
"Tênis Reebok Smash Edge S Masculino",360.99,2
"Tênis Nike Waffle Debut Masculino",370.49,2
"Tenis New Balance Fresh Foam X 1080 V13 Masculino",1025.91,3
"Sapatenis Masculino Tenis Casual Sapato 100% Couro Eco.",159.9,1
"Tênis Adidas Duramo Speed Masculino",499.99,2
"Tênis Nike Team Hustle D 11 Infantil",465.49,2
"Tênis Masculino Academia Palmilha EVA + Relógio Digital Kit",151.9,1
"TENIS MIZUNO WAVE MIRAI 5 MASCULINO",455.81,2
"Tênis Mizuno Enigma Masculino",387.99,2
"Tênis Nike Court Vapor Lite 2 HC Masculino",550.99,2
"Tênis Nike Structure 25 Masculino",645.99,2
"Tênis ASICS GEL-Backhand - Masculino - Cinza",399.9,2
"TENIS SKECHERS RUNNING MASCULINO GO RUN ELEVATE 220185-BKW PRETO",419.9,2
"Tênis OUS Imigrante Masculino",379.62,2
"Kit 3 Pares Tenis Sapatenis Polo Blu Masculino Sapatenis Cano Alto Bota Café Cinza e Preto",179.9,1
"Tênis Adidas Grand Court Base Beyond Masculino",349.9,2
"Tênis Asics Shogun 5 Masculino",379.99,2
"Tênis Puma Ferrari Trinity Masculino",310.39,2
"Tênis Masculino Caminhada Academia Treino Cross Lançamento",118.91,1
"Tênis Adidas Response Masculino",499.99,2
"Tênis Adidas Grand Court 2.0 Masculino",367.56,2
"Tênis Asics Gt-1000 12 Masculino",484.99,2
"Tênis Mizuno Wave Skyrise 3 Masculino",299.99,2
"Tênis Masculino Academia Palmilha EVA + Relógio Digital Kit",151.9,1
"Tênis Masculino Harus Fit Para Academia Caminhada Esportivo",80.66,1
"Tênis Jogger Aditus Masculino Pro Wave Leve Confortável Macio Caminhada",94.41,1
"Tênis Skechers Ultra Flex 2.0 Mirkon Masculino",311.98,2
"Tênis Estival Hybrid Smart Reno Masculino Marrom e Preto",239.06,1
"Tênis Olympikus Corre Grafeno 2 Unissex",799.99,3
"Tênis Adidas 4DFWD 3 Cinza Branco e Laranja - Masculino",1909.99,3
"Tênis Fila Engage Masculino",329.99,2
"Tênis Fila Stay Masculino",199.9,1
"kit 2 Tênis Masculino Polo Casual Em Lona",179.9,1
"Tênis Masculino Academia Caminhada Esporte Treino Leve Confortável",79.98,1
"Tênis Oakley Masculino Halftrack Low II",598.88,2
"Tênis Fila Racer Wings Masculino",236.25,1
"Tênis Umbro Trainer Masculino",194.99,1
"Tênis Asics Gel Quantum 180 Fly Masculino",499.99,2
"Tenis Masculino Para Caminhada Corrida Ultra Ortopedico Leve",77.39,1
"Tênis Skechers Go Run Lite Masculino",339.49,2
"Tênis Reebok Energen Run 3 Masculino",319.99,2
"Tênis Adidas Response Super Masculino",479.99,2
"Tenis Red Nose Rnam807 Masculino",132.33,1
"Kit Tênis Adventure Aleser Shop Esportivo Tratorado Masculino",141.9,1
"TÊNIS ASICS GEL KIMERA MASCULINO TAMANHO 40",542.83,2
"Tênis Adidas Run 60S 3.0 Masculino",369.9,2
"Sapatênis Tênis Masculino Democrata Denim Shift Couro Legítimo Palmilha Macia Confortável 151119",269.89,1
"Tênis Fila Freestyle Masculino",269.9,1
"Tênis Under Armour Charged Skyline 4",399.99,2
"Tênis New Saymon Fast Original Masculino Academia Corrida Caminhada",123.49,1
"Tênis Lacoste Europa Pro Masculino",369.98,2
"Tênis DC Shoes Court Graffik LE Masculino",399.9,2
"Tênis Mizuno Space 3 Masculino",237.6,1
"Tênis Puma Softride Enzo NXT BDP Masculino",379.99,2
"Tênis Skechers Go Run Elevate Masculino",419.8,2
"Tênis Masculino Wilson K Ultimate 2.0 Clay Court",199.99,1
"Tênis DC Shoes Striker CUP Masculino",282.06,1
"Tênis Puma Caven 2.0 Retro Club Masculino",269.9,1
"Tênis Asics Gel-Impression 11 Masculino",429.99,2
"Tênis Skechers Go Walk Max Masculino",232.79,1
"Tênis Rainha Vl 2500 Masculino",135.9,1
"Tênis Mizuno Wave Stratos 2 Masculino",719.99,3
"Tênis Masculino Cano Alto Alpha Ollie - 400",135.28,1
"Tênis Asics Solution Speed Ff 3 Masculino",581.99,2
"Tênis Fila Transition Masculino",213.66,1
"Coturno Bota Tênis Masculino Adventure Casual Adulto e Infantil Tratorada",144,1
"Tênis Esportivo Masculino Olimp Para Caminhada Academia Wit Shoes",139.9,1
"Tênis Venetto Masculino Academia Fitness Leve Confortável",99.9,1
"Tênis Fila Player Masculino",199.99,1
"Tênis Adidas Advantage Base Masculino - Preto - 37",281.7,1
"Tênis Fila Stay Masculino",189.41,1
"Tênis Couro Lacoste Court Sneakers Masculino",399.98,2
"Tênis Asics Nova Flow 2 Masculino",549.99,2
"Tênis Casual Masculino Sapatênis Sola Alta Confortável",99.9,1
"Tênis Adidas VS Pace 2.0 Masculino",343.28,2
"Tênis Adidas Duramo Speed Masculino",484.99,2
"Tênis Oakley Split II Masculino",209.98,1
"Tênis Fila Fire Masculino",263.25,1
"Tênis Puma Smash V2",299.16,2
"Tênis Skechers Go Walk Max Magnetic Masculino",329.9,2
"Tênis Puma Wired Run Speckles BDP Masculino",236.9,1
"Slip On Masculino Iate Couro Tênis Sapatênis Sem Cadarço Elástico Calce Fácil Confortável",159.9,1
"Tênis Mizuno Goya Masculino",199.99,1
"Tênis Mizuno Wave Creation 24 Wk Masculino",620.79,2
"Tênis Oakley Masculino Casual Way",307.01,2
"Tênis Academia Masculino Olymp Caminhada Treino Malhar Musculação BF Shoes",99.9,1
"Tênis Calvin Klein Baixo New Runner Knitt Masculino",559.99,2
"Tenis Under Armour Spawn 3",314.98,2
"TÊNIS ASICS GEL SHOGUN 4 MASCULINO TAMANHO 42",449.9,2
"Tênis Rainha Fire Masculino",129.99,1
"Tênis Qix Smash Masculino",186.91,1
"Tênis Lacoste AG-LT23 Lite em Tecido para Quadra de Saibro Masculino",823.65,3
"Tênis Asics Gel Hypersonic 3 Masculino",579.9,2
"Tênis Fila Rt-Low Masculino",324.89,2
"Tênis Fila Start Masculino",308.9,2
"Tênis Asics Versablast 2 Se Masculino",203.69,1
"TÊNIS ASICS GEL SHINOBI MASCULINO TAMANHO 44",239.99,1
"Tênis Olympikus Reflect Masculino",242.49,1
"TENIS FILA FLOAT MAXXI 2 PRO MASCULINO",698.9,3
"Tênis Under Armour Buzzer Se Masculino",299.99,2
"Tênis Puma Smash V2",310.99,2
"Tênis Nike Full Force Low Masculino",550.99,2
"Tênis Fila Racer Master Masculino",269.9,1
"Tênis Masculino Skechers Go Run Elevate Cinza - 2201",330.01,2
"Tênis Puma NRGY Comet",289.9,1
"Tênis Adidas Ultrabounce Run Masculino",675.92,2
"Tênis Masculino Esporte Cadarço Academia Corrida Macio Dia a Dia",125.99,1
"Tênis Puma Ferrari Neo Cat Masculino",339.9,2
"Tênis Nike Team Hustle D 11 Lil Infantil",398.99,2
"Tênis Adidas Supernova Stride Masculino",529.99,2
"Tênis Sneaker Lacoste L003 Neo Masculino",755.65,3
"Tênis Fila Extra Masculino",227.81,1
"Tênis Aramis Easy Icon Masculino",397.71,2
"Tênis Adidas Runfalcon 5 Masculino",300.69,2
"Tênis Fila Masculino Recovery Adulto.",371.83,2
"Tênis Osklen Elástico Enluvado Camurça Masculino",319.9,2
"Tênis Masculino Reebok Club C Grounds Uk",489.9,2
"Tênis Under Armour Tribase Reps Unissex",449.99,2
"Tênis Adidas VL Court 3.0 Masculino",342.9,2
"Tênis Nike Juniper Trail 2 GORE-TEX Masculino",588.99,2
"Tênis Asics Masculino Jolt 4 Corrida",299.88,2
"TENIS MIZUNO WAVE FALCON 5 MASCULINO",246.87,1
"Tênis Puma Cell Lightpulse BDP Masculino",252.19,1
"Tênis New Balance Fresh Foam X 1080v13 Masculino",1139.9,3
"Tênis Oakley Mod Navigate Masculino",319.98,2
"Tenis Qix Trek Skate Masculino Feminino Original Sneaker",389.9,2
"Tênis New Balance Fresh Foam X 860 V13 Masculino",611.09,2
"Tênis Oakley Stratus Unissex",299.99,2
"Tênis Puma Wired Run Bdp",178.94,1
"Tênis Masculino Handebol Vôlei Basquete Para Tenista Casual Feminino Gel T-Challenger 04",165.66,1
"Tênis Mizuno Wave Sky 7 Masculino",799.9,3
"Kit Tênis Bull Terrier Bruce Low Masculino + Par",319.9,2
"Tênis Puma Forever Run Nitro Masculino",699.99,3
"Tênis Mizuno Wave Tornamic 3 Masculino",223.09,1
"Tênis Puma Flyer Runner Speckles Bdp Masculino",249.9,1
"TENIS NEW BALANCE 520V8 MASCULINO",387.55,2
"Tênis Couro Democrata Denin Joe Ultra Masculino",303.9,2
"Tênis Adidas Terrex Eastrail 2 Masculino",699.9,3
"Tênis Reebok Classic Leather Masculino",474.99,2
"Tênis Fila Atmosphere Masculino",328.6,2
"Tênis Asics Gel-Excite 10 Masculino",511.9,2
"Sapatenis Mocassim Masculino Slip On Em Couro 100% Legitimo Tenis Calçar Facil Parra Boots",229.9,1
"Tênis Nike Precision 7 Unissex",303.99,2
"Tênis Fila Trend 3.0 Masculino",259.89,1
"Tênis Starter Workday Masculino",189.99,1
"Tênis Adidas Duramo SL Masculino",399.99,2
"Tênis Qix Smash Skate Masculino Feminino Casual Original",219.9,1
"Tênis Fila Acd Mid Masculino",379.99,2
"Tênis Hocks Trip Skate Masculino",193.71,1
"Tenis Infantil De Led Meninos Dinossauro Botinha Masculino + Oculos Relogio",89.99,1
"Tênis Olympikus Taurus Masculino",279.99,1
"Tênis Nike Sportswear Court Vision Mid Next Nature Masculino",408.49,2
"Tênis Puma X-Ray 2 Square Bdp",349.98,2
"Tênis Fila Racer T2 Masculino",399.89,2
"Kit 3 Pares Tênis Masculino FXB Academia Esportivo Lançamento",209.9,1
"Tênis Masculino Mizuno Wave Prophecy 13",1499.99,3
"Tênis Couro Bull Terrier Axis Low II Masculino",395.17,2
"Tênis Adidas Breaknet Masculino",299.99,2
"Tênis Oakley Masculino Flak II",599.88,2
"Kit Tênis Adventure Esportivo Masculino Couro Confortável Sola Macia Palmilha EVA",147.9,1
"Tênis ASICS GEL-SHINOBI ORIGINAL- masculino - preto + verde ( black/new leaf)",239.99,1
"Tenis Bota Cuturno Adventure Masculino varias cores",149,1
"Tênis Olympikus 274 Jogging 100",199.99,1
"Tênis Redley Originals Fun Cano Médio Masculino",119.99,1
"Tênis Olympikus Diffuse 5 Masculino",290.99,1
"Tênis Ollie Plazza Masculino",109.99,1
"Tênis College Casual Masculino Cadarço Estilo Conforto",99.9,1
"Tênis Hoka Bondi 8 Masculino",1449.99,3
"Tênis Adidas Response Runner",319.9,2
"Tênis Masculino Under Armour Charged Hit",371.9,2
"Tênis Adidas Corrida Run 70s Masculino",313.49,2
"Tênis Asics Gel-Shogun 5 Masculino Original",379.99,2
"Tênis Fila Float Prime Masculino",290.99,1
"Tênis Adidas Grand Base Masculino",323.19,2
"Tênis Masculino New Balance 373 V2 Original",454.6,2
"Tênis Olympikus Veloz 2 157",213.9,1
"Tênis Puma Vis2K Back To Heritage Masculino",319.98,2
"Tênis Masculino Olympikus Dynamic Original",274.9,1
"Tênis Skechers Masculino Go Run Elevate",378.88,2
"Tênis Casual Masculino Plataforma Flat Bico Redondo Conforto",135.28,1
"Tênis Reserva Rover Masculino",399.98,2
"Tênis Skechers Go Run Trail Altitude Anorak Masculino",529.9,2
"Tênis New Balance 373v2 Masculino",499.99,2
"Tênis Masculino Academia Caminhada Esporte Treino Leve Confortável",79.98,1
"Tênis Mizuno Nitron 2 Masculino",339.99,2
"Tênis Olympikus Corre 3",499.99,2
"Tênis Puma Fuse 2.0 Masculino",378.29,2
"Tênis Oakley Halftrack Low II Masculino",541.21,2
"Tênis Asics Gt-2000 12 Masculino",999.99,3
"Tênis Reebok Cl Nylon Masculino",359.9,2
"Tenis Mizuno Wave Frontier 15 Masculino-43 Preto-Vermelho",499.9,2
"Tênis Masculino Esportivo Harus Jet Clássico Academia Caminhada",80.66,1
"Tênis Reebok Nano X4 Masculino",969.99,3
"Tênis Olympikus Corre 3",499.99,2
"Tênis Oakley Stratus Skull Masculino",339.99,2
"Tênis Oakley Masculino Halftrack Mid II",649.71,2
"Tênis Oakley Flak Ii Masculino",799.9,3
"Tênis Olympikus Cyber 4 Masculino",252.19,1
"Tênis Under Armour Bankshot Masculino",379.99,2
"Tênis Skechers Go Run Lite Masculino",339.49,2
"Tênis Nike Revolution 7 Infantil",303.99,2
"Tênis Adidas Own The Game 2.0 Masculino",499.9,2
"TÊNIS ASICS GEL SHINOBI MASCULINO TAMANHO 44",239.99,1
"Tênis Puma Electrify Nitro 3 Knit Masculino",499.99,2
"Kit 3 Tênis Ollie Masculino Plazza Conforto",269.97,1
"Tênis Olympikus Metro Masculino",214.9,1
"Tênis Asics Gel-Rebound Masculino",446.19,2
"Tênis Masculino Olympikus Cyber 3 Esportivo",179.9,1
"TENIS NEW BALANCE FRESH FOAM X MORE V4 MASCULINO",911.9,3
"Tênis Fila Start Masculino",294.88,2
"Kit 2 Pares Box 200 Tênis Esportivo Masculino Academia Tamanho Especial Grande 44 45 46 47 48 49",184.99,1
"Tênis Asics Versablast 2 Se Masculino",269.9,1
"TÊNIS FILA RT-LOW MASCULINO TAMANHO 45",379.9,2
"Tênis Skechers Masculino Ultra Flex 2.0 - Mirkon",278.86,1
"Tênis Olympikus Venum Masculino",143.99,1
"Sapatênis Tênis Slip On Masculino Calce Fácil Com Palmilha Gel e Relógio 1003 S",116.91,1
"Tênis Puma Shuffle",299.9,2
"Tênis Mizuno Furious 2 Masculino",289.9,1
"Tênis Asics Gel-Shogun 6 Masculino e Branco",396.94,2
"Tênis Mule Slip On Masculino Calce Fácil Conforto Macio Dia a Dia",149.9,1
"Tênis Masculino Asics Gel-Quantum 180",589.99,2
"Tênis Mizuno Wave Mirai 5 Masculino",429.9,2
"Tênis Fila Iconic Masculino",279,1
"Tênis Nike Revolution 7 Juvenil",313.49,2
"Tênis Couro Lacoste Graduate Pro Masculino",389.46,2
"Tênis New Balance 520v8 Masculino",399.99,2
"Tênis Fila Intruder Masculino",252.44,1
"Tênis New Balance Fresh Foam X 880 V13 Masculino",562.59,2
"Tênis Asics NOOSA TRI 15 Masculino 40 Vermelho e Preto",999,3
"Tênis de Basquete Masculino Under Armour Dagger",349.99,2
"Tênis New Saymon Fast Original Masculino Academia Corrida Caminhada",123.49,1
"Tênis Fila Racer Master Masculino",309.69,2
"Tênis Adventure Masculino Esportivo Dia a Dia Lançamento",119.61,1
"Tênis Asics Gel Quantum 360 CTW Masculino",589.9,2
"Sapatênis Masculino Infantil Tênis Cadarço Lona Polo Joy",83.5,1
"Tênis Asics Gel-Cumulus 25 Masculino",759.88,3
"Tênis Oadsey SB Street Skatista Masculino",79.9,1
"Tênis Fila Recovery Masculino",361.75,2
"Tênis Hoka One One Bondi SR Masculino",1199.99,3
"Tênis Oakley Masculino Flyer 75",209.88,1
"Tênis Redley Originals Monocromo Cano Médio Masculino",208.32,1
"Tênis Adidas Masculino VS Pace 2.0 Skateboarding",469,2
"Tênis Couro Colcci Cosmos Masculino",215.99,1
"Tênis Masulino C Dm Damando Casual Masculino",125.91,1
"Tênis Masculino Casual Couro Cadarço Conforto Moderno",613.6,2
"Tênis Nike Air Max SYSTM Masculino",379.99,2
"Tênis Puma Cell Active BDP Masculino",339.49,2
"Tenis Masculino Para Caminhada Corrida Ultra Ortopedico Leve",77.39,1
"Tênis Asics Shogun 5 Masculino",349.9,2
"Tênis Masculino Oakley Modoc Low II",359.99,2
"Tênis Couro Reebok Hexalite Legacy 1.5 Masculino",686.56,3
"Tênis Puma Smash V2",332.49,2
"Kit 3 Pares de Tenis Masculino Casual Moderno - Cinza",149.99,1
"Tênis Oakley Stratus Unissex",299.99,2
"Tênis de Treino Masculino Under Armour Charged Quicke",399.99,2
"Tenis Futebol de Salão Quadra Cronos Adulto Infantil Masculino",67.91,1
"Tênis Adidas Masculino Runfalcon 3",378.88,2
"Tênis Puma Aviator Light Pro BDP Masculino",368.59,2
"Tênis Olympikus Sonoro 2 Masculino",299.99,2
"Tênis Oakley Stratus Unissex",299.99,2
"Tênis Mizuno Wave Stratos 2 Masculino",799.89,3
"Tênis Masculino Slip On Conforto Calce Fácil Treino Leve",72.1,1
"TENIS COCA COLA DAYTONA CLASSIC CANVA MASCULINO",194.9,1
"Tênis Casual Skate Air Sneakers Masculino e Feminino Original",94.7,1
"Tênis Street Star Basket Classic Masculino",69.99,1
"Tênis New Balance 574 V2 Masculino",459.8,2
"Tênis Nike Legend Essential 3 Next Nature Masculino",322.99,2
"Tênis Adidas Adistar CS 2.0 Masculino",1044.99,3
"Tenis Masculino Solado Borracha Alta 3cm Anti Derrapante Ajuste Elástico Facil Calce Moderno",129.9,1
"Tênis Asics Gel-Quantum 360 CTW Masculino",539.98,2
"Tenis New Balance 574 v2 Classic Masculino Casual Lifestyle",592.38,2
"Tenis Qix Am Cup Sole Series Masculino Skate Original Feminino",259.9,1
"Tênis Dc Shoes Anvil La SE Masculino",169.99,1
"Tênis Masculino Sem Cadarço Slip On Casual Elástico com Cinto e Carteira",164.9,1
"Tênis Masculino Cano Médio Em Couro Confortável",151.38,1
"Tênis Oakley Stratus Unissex",299.99,2
"Tênis New Balance Fresh Foam Garoé Masculino 38 Preto e Azul",599.99,2
"Sapatenis Masculino Tenis Casual Sapato Sola Borracha Palmilha Gel",132.21,1
"Tênis Adidas Masculino Galaxy 6",369.9,2
"Tênis Masculino Academia Caminhada Corrida Leve Confortavel",80.91,1
"Tênis Masculino Impact Couro Basquete C/Amortecimento Leve Aderência",324.89,2
"Tênis Fila Ray Tracer Tr Masculino",339.99,2
"Tênis Olympikus Corre Grafeno 2 Unissex",539.9,2
"Tênis New Balance 500V2 Preto - Masculino",300.99,2
"Combo Infantil Juvenil Tênis Masculino Preto com Relógio Digital e Meia do 27 ao 36 Escolar",84.91,1
"Kit Tênis Esportivo Masculino Feminino Conforto Corrida Caminhada Academia + Relogio Prova D' Água",69.9,1
"Tênis Nike Air Max Excee Masculino",598.49,2
"Tênis Under Armour Tribase Cross Musgo Masculino",421.11,2
"Tênis Olympikus Challenger 5 Masculino",290.99,1
"Tênis Juvenil Kurz Jogging Pump Masculino",44.99,1
"Kit 3 Pares de Tenis Infantil Calce Facil Bordado e Jogging Marinho",159.9,1
"Tênis DC Shoes Anvil TX Masculino",180.4,1
"Tênis Reserva Dock Preto - Masculino - 41 - Preto",233.99,1
"Tênis Asics Gel-Dedicate 8 Clay Saibro Masculino",581.99,2
"Tênis Extremecross Masculino Feminino Speed Corrida Trekking Trilha Escalada Academia Ciclismo",161.41,1
"Tênis Everlast Star",139.99,1
"TENIS NEW BALANCE 480 LOW MASCULINO",470.16,2
"Tênis Reserva Casual Masculino",379.99,2
"Tênis Adidas X PLR Path Masculino",449.17,2
"Tênis Colcci Masculino Istambul-CL0025",261.89,1
"Tênis Olympikus Estilo 2 Masculino",179.99,1
"Tênis Mizunowave Vitality 5 Masculino",269.99,1
"Tênis Sapatênis Polo White Casual em Lona Masculino",89.91,1
"Tênis New Balance Fresh Foam X 880v14 Masculino",758,3
"Tênis Fila Racer Marker Masculino",269.9,1
"TÊNIS SKECHERS GO RUN ELEVATE MASCULINO TAMANHO 38",249.9,1
"Tênis Masculino Olympikus Dynamic Original",259.5,1
"Tênis DC Shoes Anvil LA Masculino",299.9,2
"Tênis Fila Progress Masculino",289.9,1
"Combo 2 Pares Tenis Infantil Baby Casual Masculino 3126",93.14,1
"Tênis Dc Shoes Anvil La SE Masculino",360.9,2
"Tênis Infantil Molekinho Masculino",79.99,1
"Tênis Esportivo Adventure Masculino Couro Legitimo Confort Flex + Sola Costurada",139.9,1
"Tênis Rainha Iate III Masculino",136.83,1
"Tênis Asics Gel Pacemaker 3 Masculino",549.9,2
"Tênis Under Armour Tribase Cross Musgo Masculino",467.91,2
"Tênis Asics Gel-Dedicate 8 Clay Saibro Masculino",604.9,2
"Tênis Juvenil Molekinho Calce Fácil Masculino",54.99,1
"Tênis New Balance Fresh Foam X 880v14 Masculino",683.9,2
"Tênis Reebok Speed 22 TR Masculino",332.49,2
"Tênis Slip On Masculino Polo Joy Lona Confortável",108.2,1
"Tênis Olympikus Neblina",289.9,1
"Sapatênis Tênis Polo White Casual Conforto Masculino",109.9,1
"Tênis Under Armour Project Rock 6 Masculino",1379.9,3
"Tênis New Balance Fresh Foam 680 V8 Masculino",417.09,2
"Tênis Puma Magnify Nitro 2 Masculino",799.99,3
"Tênis Street Ollie Masculino Ultra Conforto",113.05,1
"Tênis Hoka One Clifton 9 Masculino",1299.99,3
"Tênis Rainha Vl 2500 Masculino",139.06,1
"Tênis Fila Racer Flexor Masculino",314.91,2
"Tênis Olympikus 215G Ultraleve Masculino",249.9,1
"Tênis Oakley Mod River Masculino",249.99,1
"Tênis Olympikus Quadra Br1 Masculino",484.99,2
"Tênis Casual Sapatênis Masculino Sola Alta para Dia a Dia",89.9,1
"Tênis Lacoste Linetrack em Couro Masculino",594.15,2
"Tênis Casual Pegada Masculino em Couro Silver 111501-09",209.9,1
"Tênis Olympikus Venum Masculino",143.99,1
"Tênis Infantil Kappa Power Masculino",69.99,1
"Tênis Masculino Adventure Trekking Caminhada Esporte Trabalho Confortável Costuras Reforçadas",119.61,1
"Tênis Nike Freak 5 Masculino",664.99,2
"Shorts Adidas Masculino Tênis Club 3-Stripes",149.99,1
"Tênis Extremecross Masculino Feminino Speed Corrida Trekking Trilha Escalada Academia Ciclismo",161.41,1
"Tênis Fila Revenge Masculino",189.99,1
"Tênis Masulino C Dm Damando Casual Masculino",125.91,1
"Tênis Oakley Flak 365 II Camo Masculino",811.39,3
"Tenis Infantil Masculino Esportivo Menino Confortável Tiras Autocolantes",159.9,1
"Tênis Redley Originals Summer",178.5,1
"Tênis Nike Court Royale 2 Next Nature Masculino",379.99,2
"Tênis New Balance Fresh Foam Arishiv4 Masculino",499.99,2
"Tênis Adidas Ultimashow Masculino",379.9,2
"Tênis Sapatênis Masculino Polo Joy Casual Lona Confortável",108.2,1
"Tênis Masculino Mule Polo Joy Em Lona Confortável Casual",108.2,1
"Tênis Asics Gel-Pacemaker 4 Masculino",469.9,2
"Tênis Adidas Questar Masculino",549.99,2
